Localidad,Estudiantes,Latitud,Longitud
Fontibón,326,4.748477,-74.030012
Fontibón,248,4.678601,-74.118
Usaquén,231,4.678601,-74.103209
Suba,367,4.648283,-74.146295
Fontibón,414,4.693419,-74.118
Engativá,150,4.693419,-74.118
Suba,354,4.683132,-74.057005
Fontibón,214,4.748477,-74.030012
Suba,380,4.648283,-74.030012
Engativá,428,4.693419,-74.146295
Usaquén,291,4.683132,-74.030012
Engativá,251,4.748477,-74.057005
Engativá,403,4.748477,-74.030012
Fontibón,173,4.648283,-74.118
Fontibón,296,4.678601,-74.146295
Chapinero,340,4.678601,-74.057005
Engativá,322,4.693419,-74.103209
Chapinero,117,4.678601,-74.057005
Fontibón,360,4.683132,-74.118
Engativá,132,4.748477,-74.118
Usaquén,465,4.678601,-74.118
Suba,210,4.683132,-74.146295
Suba,433,4.683132,-74.103209
Chapinero,71,4.648283,-74.146295
Chapinero,453,4.693419,-74.118
Suba,247,4.683132,-74.030012
Usaquén,82,4.648283,-74.103209
Chapinero,136,4.678601,-74.057005
Usaquén,110,4.648283,-74.146295
Chapinero,358,4.683132,-74.118
Chapinero,449,4.683132,-74.118
Engativá,286,4.693419,-74.146295
Engativá,68,4.683132,-74.118
Usaquén,117,4.648283,-74.146295
Fontibón,482,4.648283,-74.118
Suba,99,4.678601,-74.057005
Engativá,162,4.648283,-74.118
Engativá,93,4.693419,-74.057005
Usaquén,186,4.678601,-74.030012
Fontibón,371,4.648283,-74.057005
Chapinero,149,4.748477,-74.057005
Suba,81,4.648283,-74.057005
Suba,271,4.648283,-74.118
Fontibón,244,4.683132,-74.057005
Usaquén,199,4.648283,-74.103209
Chapinero,128,4.648283,-74.118
Suba,471,4.683132,-74.118
Suba,145,4.683132,-74.103209
Suba,347,4.648283,-74.118
Usaquén,415,4.693419,-74.146295
Fontibón,480,4.678601,-74.118
Usaquén,116,4.748477,-74.057005
Chapinero,272,4.678601,-74.103209
Engativá,125,4.648283,-74.146295
Fontibón,187,4.748477,-74.030012
Engativá,334,4.748477,-74.146295
Fontibón,59,4.748477,-74.146295
Engativá,419,4.748477,-74.057005
Chapinero,159,4.678601,-74.103209
Chapinero,254,4.678601,-74.057005
Usaquén,418,4.648283,-74.057005
Usaquén,328,4.683132,-74.030012
Chapinero,167,4.683132,-74.057005
Suba,318,4.683132,-74.030012
Engativá,188,4.683132,-74.146295
Chapinero,116,4.678601,-74.146295
Suba,52,4.748477,-74.030012
Usaquén,372,4.648283,-74.030012
Fontibón,149,4.678601,-74.146295
Engativá,163,4.648283,-74.118
Suba,409,4.648283,-74.103209
Suba,285,4.648283,-74.057005
Suba,347,4.678601,-74.030012
Usaquén,202,4.693419,-74.118
Chapinero,475,4.693419,-74.030012
Fontibón,77,4.648283,-74.103209
Chapinero,489,4.678601,-74.030012
Fontibón,235,4.678601,-74.118
Suba,240,4.748477,-74.057005
Suba,182,4.678601,-74.103209
Suba,55,4.648283,-74.057005
Usaquén,494,4.693419,-74.103209
Suba,493,4.678601,-74.146295
Engativá,374,4.648283,-74.118
Chapinero,50,4.683132,-74.030012
Suba,239,4.648283,-74.146295
Usaquén,449,4.748477,-74.057005
Chapinero,457,4.678601,-74.146295
Usaquén,115,4.748477,-74.057005
Chapinero,380,4.748477,-74.118
Chapinero,164,4.678601,-74.118
Chapinero,142,4.648283,-74.030012
Suba,255,4.748477,-74.118
Fontibón,476,4.678601,-74.057005
Chapinero,267,4.693419,-74.030012
Engativá,346,4.748477,-74.030012
Chapinero,261,4.683132,-74.146295
Chapinero,161,4.748477,-74.030012
Fontibón,328,4.693419,-74.030012
Chapinero,219,4.648283,-74.057005
Suba,490,4.648283,-74.057005
Fontibón,421,4.683132,-74.057005
Chapinero,455,4.693419,-74.103209
Engativá,118,4.648283,-74.103209
Fontibón,105,4.748477,-74.103209
Chapinero,499,4.648283,-74.103209
Engativá,259,4.693419,-74.146295
Fontibón,419,4.693419,-74.057005
Fontibón,164,4.693419,-74.103209
Usaquén,361,4.748477,-74.118
Engativá,443,4.678601,-74.103209
Engativá,165,4.693419,-74.030012
Fontibón,282,4.683132,-74.146295
Engativá,409,4.748477,-74.030012
Suba,474,4.648283,-74.057005
Usaquén,436,4.693419,-74.057005
Suba,105,4.678601,-74.118
Fontibón,469,4.648283,-74.146295
Chapinero,75,4.693419,-74.146295
Chapinero,402,4.678601,-74.030012
Fontibón,435,4.678601,-74.118
Fontibón,284,4.693419,-74.103209
Usaquén,353,4.648283,-74.118
Engativá,480,4.748477,-74.103209
Fontibón,204,4.678601,-74.118
Engativá,128,4.693419,-74.030012
Usaquén,377,4.748477,-74.103209
Engativá,495,4.683132,-74.118
Suba,89,4.678601,-74.057005
Engativá,344,4.678601,-74.103209
Chapinero,131,4.693419,-74.103209
Suba,163,4.678601,-74.146295
Usaquén,406,4.678601,-74.057005
Fontibón,307,4.748477,-74.118
Fontibón,147,4.678601,-74.103209
Chapinero,180,4.748477,-74.146295
Usaquén,383,4.648283,-74.118
Usaquén,328,4.678601,-74.030012
Chapinero,51,4.683132,-74.146295
Chapinero,307,4.693419,-74.103209
Usaquén,444,4.648283,-74.118
Engativá,407,4.693419,-74.146295
Usaquén,61,4.693419,-74.030012
Suba,87,4.748477,-74.146295
Usaquén,324,4.678601,-74.146295
Usaquén,458,4.748477,-74.118
Chapinero,416,4.648283,-74.146295
Fontibón,277,4.693419,-74.103209
Engativá,253,4.678601,-74.057005
Engativá,141,4.678601,-74.146295
Fontibón,262,4.683132,-74.057005
Fontibón,377,4.678601,-74.057005
Chapinero,139,4.683132,-74.146295
Suba,162,4.648283,-74.146295
Usaquén,292,4.748477,-74.103209
Engativá,144,4.683132,-74.118
Fontibón,157,4.678601,-74.118
Suba,290,4.678601,-74.146295
Fontibón,277,4.678601,-74.103209
Fontibón,391,4.678601,-74.146295
Usaquén,486,4.648283,-74.146295
Chapinero,416,4.648283,-74.118
Suba,266,4.683132,-74.030012
Fontibón,67,4.748477,-74.057005
Fontibón,431,4.748477,-74.057005
Suba,482,4.748477,-74.057005
Chapinero,162,4.748477,-74.146295
Fontibón,413,4.693419,-74.030012
Fontibón,169,4.683132,-74.146295
Usaquén,408,4.648283,-74.103209
Fontibón,100,4.748477,-74.030012
Engativá,101,4.678601,-74.057005
Suba,463,4.678601,-74.057005
Fontibón,113,4.678601,-74.057005
Fontibón,478,4.748477,-74.103209
Usaquén,137,4.678601,-74.103209
Usaquén,485,4.678601,-74.118
Engativá,382,4.678601,-74.103209
Chapinero,361,4.678601,-74.118
Fontibón,486,4.748477,-74.146295
Usaquén,483,4.693419,-74.146295
Fontibón,307,4.748477,-74.118
Chapinero,405,4.693419,-74.103209
Fontibón,390,4.748477,-74.118
Chapinero,190,4.678601,-74.103209
Fontibón,162,4.648283,-74.057005
Chapinero,342,4.748477,-74.057005
Suba,283,4.693419,-74.057005
Usaquén,283,4.678601,-74.146295
Chapinero,124,4.683132,-74.030012
Suba,376,4.683132,-74.103209
Engativá,255,4.678601,-74.103209
Chapinero,287,4.678601,-74.030012
Chapinero,310,4.748477,-74.103209
Chapinero,324,4.693419,-74.030012
Suba,103,4.648283,-74.118
Usaquén,119,4.678601,-74.118
Fontibón,443,4.648283,-74.103209
Fontibón,352,4.678601,-74.057005
Chapinero,213,4.678601,-74.103209
Usaquén,222,4.678601,-74.057005
Fontibón,300,4.648283,-74.057005
Suba,196,4.678601,-74.030012
Suba,483,4.693419,-74.030012
Suba,112,4.683132,-74.103209
Fontibón,375,4.648283,-74.146295
Engativá,156,4.683132,-74.118
Suba,499,4.648283,-74.146295
Usaquén,218,4.693419,-74.146295
Chapinero,446,4.683132,-74.118
Engativá,141,4.648283,-74.103209
Usaquén,427,4.678601,-74.057005
Usaquén,74,4.683132,-74.057005
Usaquén,372,4.748477,-74.057005
Suba,238,4.693419,-74.030012
Chapinero,413,4.678601,-74.057005
Engativá,250,4.693419,-74.030012
Chapinero,221,4.683132,-74.030012
Usaquén,394,4.678601,-74.103209
Engativá,134,4.683132,-74.146295
Engativá,99,4.648283,-74.118
Chapinero,291,4.648283,-74.146295
Chapinero,359,4.683132,-74.030012
Suba,373,4.683132,-74.030012
Suba,457,4.693419,-74.030012
Chapinero,267,4.683132,-74.030012
Chapinero,491,4.648283,-74.103209
Fontibón,159,4.748477,-74.146295
Engativá,254,4.693419,-74.030012
Engativá,59,4.648283,-74.057005
Engativá,179,4.683132,-74.057005
